ticker,report_id,passage_id,passage_type,first_page_number,last_page_number,word_count,token_count,share_of_report_words,participates_in_alignment_gap,cumulative_corpus_word_share
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,13f996da-fe73-4cf4-87cb-d79eebf0e8d0,LIST,78,78,493,610,0.009683185041148627,True,0.024013759375963655
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,7061fccf-db70-4ba5-a458-dd57c10df884,HEADING_WITH_BODY,81,81,267,718,0.005244240174415179,True,0.024207033438584453
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,ee65d8d9-ba0d-4a55-8a94-1e84f1b09f2a,HEADING_WITH_BODY,82,82,223,587,0.004380020819829906,True,0.02436845709388197
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,4b83ca76-927c-4fcb-a13b-c093f0ff2018,HEADING_WITH_BODY,83,83,225,534,0.0044193035177656,True,0.024531328494966913
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,2cfe36ab-779f-4fc7-9e75-0d398746cfa2,PARAGRAPH,84,84,485,584,0.00952605424940585,True,0.024882406848416673
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,7e15286f-d6fe-4d39-9eba-dfde12b85fb2,PARAGRAPH,85,85,438,549,0.008602910847917035,True,0.025199463175862025
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,d2f473bd-8011-4759-afcc-326469ba4f5e,PARAGRAPH,87,87,447,522,0.00877968298862766,True,0.02552303435935077
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,db11f214-09ee-4013-8102-fb1ca955a905,LIST,90,90,530,603,0.01040991495295897,True,0.02590668699301752
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,0fd5ea9d-eac8-4e00-96d5-fa254eafe4f2,HEADING_WITH_BODY,95,95,293,545,0.005754915247579204,True,0.0261187817508748
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,9f291385-0d89-4d42-ad09-b5f3823ba71f,MULTI_PARAGRAPH,100,100,373,638,0.007326223165006972,True,0.026388786340228947
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,fbab60a9-6c9c-4d16-96d6-3f7183d5e44d,HEADING_WITH_BODY,103,104,393,543,0.007719050144363915,True,0.02667326838745731
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,d0d4c30b-d617-4124-82df-310f0139934f,HEADING_WITH_BODY,105,106,340,631,0.006678058649068018,True,0.026919385171318998
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,b74b175c-d9db-43ea-ba73-8e023cbd12df,HEADING_WITH_BODY,113,113,382,536,0.007502995305717596,True,0.027195904616716542
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,48b70ede-3999-440d-82fb-6ea6ade0f365,PARAGRAPH,119,119,572,741,0.011234851609608548,True,0.027609959911919148
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,d7a10ba6-007e-4804-9610-2a276048bd71,HEADING_WITH_BODY,125,125,290,554,0.005695991200675663,True,0.02781988305109529
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,39b911bf-b514-4d8b-80f8-789d7eb7cb59,HEADING_WITH_BODY,126,126,297,610,0.0058334806434505925,True,0.028034873300527414
BEL,6e756e03-f4f6-4223-a495-88b691b06da6,dacb2724-7e84-44bc-b4a3-9a6184ba988a,PARAGRAPH,55,55,455,523,0.00861546618192835,,0.02836423546716585
BEL,6e756e03-f4f6-4223-a495-88b691b06da6,db6b5798-eb9c-4837-b003-5c46dcf6dd28,PARAGRAPH,123,123,439,522,0.008312504733772628,,0.02868201566750491
BEL,6e756e03-f4f6-4223-a495-88b691b06da6,9d5cb03b-91d8-4480-9321-cad6a779a6f6,HEADING_WITH_BODY,126,127,240,868,0.0045444217223358325,,0.028855745161995516
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,055bb150-69ec-48f1-9a45-a37a7226cbcf,HEADING_WITH_BODY,4,4,387,531,0.007476527182102701,True,0.029135883971861613
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,9b0cf125-fa7e-4a0e-8c90-7cc1f6feccf2,PARAGRAPH,7,7,653,872,0.012615432170317993,True,0.029608572971454795
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,02023767-7dc2-4d16-a69e-e48b1d9ab3bd,LIST,9,9,539,757,0.010413044318225725,True,0.029998740461164942
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,355c92df-0fd8-404b-813a-103fa7d33ba6,PARAGRAPH,16,16,466,632,0.009002743325219272,True,0.0303360652296342
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,6f5677d1-7c2a-49e9-9490-426cbe879322,PARAGRAPH,18,18,590,708,0.011398323094161741,True,0.0307631502369236
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,4087312b-5116-403a-9ffa-eaf53a36c297,PARAGRAPH,19,19,658,807,0.012712028128743093,True,0.031239458600985336
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,36ee66cf-b61d-4566-9e07-a22b7dad488c,PARAGRAPH,20,20,490,561,0.00946640392565975,True,0.03159415631890365
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,3e1186cf-d6f6-4ec8-873b-0a59826d96b4,PARAGRAPH,21,21,640,811,0.012364282678412735,True,0.032057434970878596
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,1b640074-ce85-4e98-9709-a580cbf75171,PARAGRAPH,22,22,551,651,0.010644874618445965,True,0.03245628893531327
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,58ed0237-2341-4e66-b495-62788851ec87,PARAGRAPH,23,23,533,732,0.010297129168115607,True,0.03284211318766115
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,cfac7260-0323-40d8-a468-c81886f7e308,PARAGRAPH,25,25,409,515,0.007901549399173138,True,0.03313817720118889
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,f294f10b-422d-4865-9260-73d690fc8eb8,PARAGRAPH,26,26,410,613,0.007920868590858159,True,0.03343496508761034
