ticker,report_pair_id,earlier_period_end,later_period_end,score_a,score_b,score_c,delta_ab,delta_ac,new_rate_words_a,new_rate_words_b,new_rate_words_c,removed_rate_words_a,removed_rate_words_b,removed_rate_words_c,substantially_modified_rate_words_a,substantially_modified_rate_words_b,substantially_modified_rate_words_c,ambiguous_rate_words_a,ambiguous_rate_words_b,ambiguous_rate_words_c,alignment_coverage_words_a,alignment_coverage_words_b,alignment_coverage_words_c,feature_quality_a,feature_quality_b,feature_quality_c,primary_eligible_a,primary_eligible_b,primary_eligible_c,quality_changed_b,quality_changed_c,primary_eligibility_changed_b,primary_eligibility_changed_c,words_excluded_b,words_excluded_c,pct_eligible_words_removed_b,pct_eligible_words_removed_c,coverage_threshold_failed_b,coverage_threshold_failed_c,stored_disclosure_change_score
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,2017-12-31,2018-12-31,0.439199126668986,0.4404397044370837,0.4404397044370837,0.001240577768097717,0.001240577768097717,0.09184371213666191,0.09289120227132093,0.09289120227132093,0.06187694190189422,0.06105388320654218,0.06105388320654218,0.18470711021005531,0.18681372013734698,0.18681372013734698,0.1341426840533116,0.13567259976461737,0.13567259976461737,1.0,0.9870013328582552,0.9869881362418675,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,470.0,470.0,0.011276526829736441,0.011276526829736441,False,False,0.439199126668986
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,2021-12-31,2022-12-31,0.3998570326755582,0.4009315467965273,0.4009315467965273,0.0010745141209690945,0.0010745141209690945,0.064767960270133,0.06562282599372933,0.06562282599372933,0.08256362986512161,0.08365337882267733,0.08365337882267733,0.1573016798660622,0.157119304699189,0.157119304699189,0.0942455651912188,0.09548950282561254,0.09548950282561254,1.0,0.9828808189129905,0.9828808189129905,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,692.5,692.5,0.013026956865253297,0.013026956865253297,False,False,0.3998570326755582
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,2019-12-31,2020-12-31,0.5790110838782658,0.5807433882771083,0.5807433882771083,0.0017323043988424214,0.0017323043988424214,0.03782609127082569,0.03805796551620858,0.03805796551620858,0.4429979062682953,0.44571348701616365,0.44571348701616365,0.10797106482629965,0.10863292832682728,0.10863292832682728,0.05362334659694176,0.0528139133212863,0.0528139133212863,1.0,0.9893473157787304,0.9893090426617677,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,307.0,307.0,0.006092660031554819,0.006092660031554819,False,False,0.5790110838782658
BEL,797dd800-261d-4097-8bc9-86a0d1d27555,2020-12-31,2021-12-31,0.5749662438524388,0.5782285321183238,0.5782285321183238,0.0032622882658850383,0.0032622882658850383,0.43645466820417295,0.44067357254663464,0.44067357254663464,0.03581601174812493,0.036230944855983487,0.036230944855983487,0.09486216650404582,0.09596115691767779,0.09596115691767779,0.0656791145540739,0.06644001555318492,0.06644001555318492,1.0,0.9833116956779309,0.9832612778400999,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,581.0,581.0,0.011452450647033895,0.011452450647033895,False,False,0.5749662438524388
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,2018-12-31,2019-12-31,0.4785081261679596,0.4797785486860239,0.4797785486860239,0.0012704225180642514,0.0012704225180642514,0.19240425090133453,0.1937556432067671,0.1937556432067671,0.05832719859561697,0.05873687211899444,0.05873687211899444,0.13392604337731467,0.13403031887088343,0.13403031887088343,0.12614908356456575,0.1270351185667443,0.1270351185667443,1.0,0.9892480225615264,0.9892259898208738,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,369.5,369.5,0.006974724880608566,0.006974724880608566,False,False,0.4785081261679596
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,2023-12-31,2024-12-31,0.5499349438843446,0.5494589494762785,0.5494589494762785,-0.00047599440806611604,-0.00047599440806611604,0.22036903176716757,0.22305914972273566,0.22305914972273566,0.22741487540422295,0.2301910043130006,0.2301910043130006,0.07740536427620316,0.0680067775723968,0.0680067775723968,0.09616130873121552,0.09733518176216882,0.09733518176216882,0.9995566884628172,0.9782978852024624,0.9782676594158363,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,792.5,792.5,0.012060110329085029,0.012060110329085029,False,False,0.5499349438843446
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,2019-12-31,2020-12-31,0.6088207570571017,0.6088296258307156,0.6088296258307156,8.86877361394589e-06,8.86877361394589e-06,0.25036322015039086,0.2516258164697167,0.2516258164697167,0.3032622484921934,0.3033812708791874,0.3033812708791874,0.07647821742181021,0.07447770868502966,0.07447770868502966,0.05056024493440776,0.05081522319806825,0.05081522319806825,0.9991092404072044,0.9898786217697729,0.9898786217697729,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,354.0,354.0,0.005017753492228861,0.005017753492228861,False,False,0.6088207570571017
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,2020-12-31,2021-12-31,0.5730307402233571,0.5718246149364041,0.5718246149364041,-0.0012061252869529637,-0.0012061252869529637,0.2545476752085862,0.2524207830840355,0.2524207830840355,0.25592171052129375,0.25591683086335515,0.25591683086335515,0.04008366348348486,0.040258216862297115,0.040258216862297115,0.05467133838672987,0.05490941709536697,0.05490941709536697,0.9993530698376514,0.9915488329585246,0.9915385642257889,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,284.0,284.0,0.004335844764543782,0.004335844764543782,False,False,0.5730307402233571
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,2021-12-31,2022-12-31,0.5203917959505653,0.5213319136968139,0.5213319136968139,0.000940117746248581,0.000940117746248581,0.21678260384544898,0.2186186668809514,0.2186186668809514,0.24704579319357126,0.2491381734902969,0.2491381734902969,0.04307604044653742,0.04046767648358713,0.04046767648358713,0.05622355556617981,0.05605689260315802,0.05605689260315802,0.9997501223359397,0.9852155715430987,0.985194748404427,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,527.0,527.0,0.008398473294607925,0.008398473294607925,False,False,0.5203917959505653
KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,2022-12-31,2023-12-31,0.5123169268673661,0.5126366230986281,0.5126366230986281,0.0003196962312620455,0.0003196962312620455,0.24079098865530318,0.2424837025265138,0.2424837025265138,0.2152674337152473,0.21613206629260856,0.21613206629260856,0.04458167940160549,0.04205721142931275,0.04205721142931275,0.04144960909508128,0.04174099179450589,0.04174099179450589,0.9996898102672801,0.9855554981130125,0.9854831205087111,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,433.5,433.5,0.006980732534078374,0.006980732534078374,False,False,0.5123169268673661
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,2024-12-31,2025-12-31,0.2045070928353385,0.2045070928353385,0.2045070928353385,0.0,0.0,0.0503809352794808,0.0503809352794808,0.0503809352794808,0.03493830644126927,0.03493830644126927,0.03493830644126927,0.011363927865992869,0.011363927865992869,0.011363927865992869,0.056075725316163456,0.056075725316163456,0.056075725316163456,0.9998441113045285,0.987606848710021,0.987606848710021,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,0.2045070928353385
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,2023-12-31,2024-12-31,0.18699502924779612,0.18699502924779612,0.18699502924779612,0.0,0.0,0.028616153571526654,0.028616153571526654,0.028616153571526654,0.018125394776590777,0.018125394776590777,0.018125394776590777,0.1024084804877379,0.1024084804877379,0.1024084804877379,0.021805399170625874,0.021805399170625874,0.021805399170625874,0.9999200767263428,0.9814844416027281,0.9814844416027281,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,False,False,0.18699502924779612
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,2024-06-30,2025-06-30,0.4169143214799017,0.41772245069632674,0.41772245069632674,0.0008081292164250353,0.0008081292164250353,0.15554731327367982,0.1567903542387139,0.1567903542387139,0.13333951504474015,0.13440508458734463,0.13440508458734463,0.07200148361073763,0.07257687634358351,0.07257687634358351,0.0717233065974315,0.0701934760257968,0.0701934760257968,0.9997156667614444,0.9685424044252592,0.9685424044252592,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,171.0,171.0,0.007928044879224813,0.007928044879224813,False,False,0.4169143214799017
SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,2024-06-30,2025-06-30,0.4868964318891139,0.4982252441729811,0.4982252441729811,0.011328812283867173,0.011328812283867173,0.1744424617893351,0.1866950934916016,0.1866950934916016,0.10785198254372423,0.1145812325333487,0.1145812325333487,0.2029793291497083,0.20572473998098476,0.20572473998098476,0.0667909724589156,0.06352819153533666,0.06352819153533666,0.999950321050213,0.9212961237999429,0.9208055441707962,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,5397.5,5397.5,0.07214414125415188,0.07214414125415188,False,False,0.4868964318891139
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,2023-06-30,2024-06-30,0.4364889872763586,0.4480222062709043,0.4480222062709043,0.01153321899454568,0.01153321899454568,0.09797622871827819,0.10418925729645524,0.10418925729645524,0.08861855612508554,0.09443010522778991,0.09443010522778991,0.18403888322462605,0.1875620446874475,0.1875620446874475,0.08988952359669827,0.09342211769018129,0.09342211769018129,0.9999741553650232,0.9115467367917762,0.9109264655523321,NEEDS_REVIEW,NEEDS_REVIEW,NEEDS_REVIEW,False,False,False,False,False,False,False,6122.0,6122.0,0.08550398748585875,0.08550398748585875,False,False,0.4364889872763586
