publication_id,target_passage_id,ticker,source_passage_id,heading
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,bf1dd2e2-d2bb-5eb8-bbaa-a370c583f1a1,KP2,c2dfaecd-3034-498f-bbcc-868754c4f7fd,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,105c2b5e-9e23-525c-8623-429d4bed0c2a,KP2,a46ec4b8-7f69-4b2a-be7c-f19079f2cd77,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a29bc1b2-457c-50f5-89e6-12a0efdfe809,KP2,dbb42e76-6699-4ac0-b4d9-be1e57d23c19,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,6b0e4f39-4f34-5532-a946-d2c5d55db5ef,KP2,be472e72-76f3-414c-bd73-78f766f22540,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,74b8cac3-fcb5-55a9-8b11-2d89d9454ec9,KP2,53224d90-7665-4713-98b0-9b098793623e,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,bb68911c-360a-52c6-947e-fe2532cf3309,KP2,6babb474-e3a8-45ea-b899-558338c52839,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c7af5142-414a-5379-b48d-ac4d8ce88279,KP2,28655311-f451-4107-b91d-0149c7ecde0b,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,8081adc8-188e-5ae7-b015-58e9737b62bb,KP2,fab02126-240a-47e2-9cf3-ae90811b3a66,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,642156fe-5890-527d-93cf-ea85bbec8d9c,KP2,826ad1e6-a8fd-4221-bfe9-c249987414db,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c3305225-ca3f-5743-b74e-d96629df6877,KP2,69f10afb-13d6-465c-b942-491908fbe8b1,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0594d6db-0ba9-5692-bc35-9f5c77440cdc,KP2,101bbb20-3025-43b3-aa05-836c24abe426,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,044fced7-d2d8-5997-a131-5a292b356e1d,KP2,c599f1e9-06bc-4b47-9058-83d6f41499ba,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,4d87866e-dc01-5e04-8397-5f14c603f446,KP2,e57513ad-1400-470c-8e09-ca8787370942,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,69c292a1-1326-5764-8988-c6a206b1be12,KP2,85d76bf4-53a2-4953-8795-ae892854c1c7,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,d42c0244-5e53-5dfe-b3a6-aaacea9cc384,KP2,f4d42af6-72ed-4411-b284-2192eec86408,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c31c629b-7a8e-582e-82e8-7e555caaa185,KP2,d8491d77-a871-42fc-9454-26e9b193adce,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,3eb84fc7-f5e9-5f66-a679-936214f1e0b7,KP2,703b77cd-004e-4bc7-af4d-2c34933647c9,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,31d113f8-ade4-5bd9-87fd-7fcd627f08da,KP2,a61981a9-e401-4a60-ab9b-10ea413ad527,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,406c602f-638b-56da-ad11-be501d3f943f,KP2,0aba8528-6400-4c50-8b05-9f9c718ce165,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a09352e1-2aeb-5116-9ae5-eed7207d72fb,KP2,88b2a864-40d3-48e8-8302-aae0b9434871,DIRECTORS’ REPORT (CONT)
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,a5970990-e094-5cc7-9114-2c3e79434849,KP2,052f4a16-2b8a-417d-88b1-09779944f370,
