publication_id,target_embedding_id,target_passage_id,dimensions_ok,vector_nonzero
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,d502e22f-c8c4-5cfa-bd79-75761c5b61c4,01095c85-93fd-59d6-bca4-df15f85f48bc,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,d0a96c1c-369b-5657-adf6-7bf19f07565e,010a51ea-eddf-59a6-a219-a9632235f8a6,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2a226696-8e16-5403-8a35-74a1e2d442d7,010b1971-20bd-5248-899f-7dcf286902c7,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,8d7b2040-9b90-546b-8e59-cf10643f96ab,010c6c27-7c4e-5ea0-8f92-dcf766aac9ee,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,5eb8d37e-7593-50fa-8c9f-879bbfd50dee,010e3e3e-9c08-5a3c-8405-5f0d543a8ebf,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,b4472e2c-d142-5f6d-b8a7-00f69fa9588e,010e47b8-cf1f-54d1-a2b6-950ecf740236,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,45215371-27bc-5c7f-94b1-e12df577e941,0110a2b7-03eb-5551-b499-197d550ea9ff,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c5023899-36c3-5ec4-8e59-9489ba46fc05,0110bb84-8d56-5564-bc56-d31b9a32cc7b,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,2e134e31-9115-51bc-bf57-e472c499342b,0115f47f-347d-590b-aa53-f881578a0698,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,e52b1d2d-0dc5-52fc-91cb-3eb0bb7319f8,01179f25-af07-5060-8fcb-7537a8c988e3,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c30687a6-5f75-5440-aca3-1093cae0b9d4,0117d6bf-ec95-51d4-8e70-7d374e46add9,True,True
