ticker,report_pair_id,population,analyzed_words,words_vs_baseline_pct,net_tone_change,net_tone_change_delta_vs_baseline,positive_rate_change,negative_rate_change,uncertainty_rate_change,litigious_rate_change,constraining_rate_change,strong_modal_rate_change,weak_modal_rate_change
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,8_exclude_split_merge_flagged,97078,1.0,4.467694352471748,0.0,8.859129587780268,4.391435235308521,-0.3788777546359654,-2.604224524218746,-1.1892341470913177,-1.382791403928746,-1.365099417811088
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,1_all_alignments,93253,1.0,4.41040445534404,0.0,4.2228251927328415,-0.18757926261119806,0.27152911168575145,-0.6303798184936547,0.3841493877721973,-0.35832372766177967,-0.17190335892825792
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,2_exclude_needs_review,22043,0.2363784543124618,8.294272701274018,3.8838682459299783,9.485961884848408,1.1916891835743897,-1.5068737610699028,-3.115173993569673,-1.9283287313262814,0.2667960858748635,-0.5551404361000125
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,3_high_medium_low,22043,0.2363784543124618,8.294272701274018,3.8838682459299783,9.485961884848408,1.1916891835743897,-1.5068737610699028,-3.115173993569673,-1.9283287313262814,0.2667960858748635,-0.5551404361000125
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,4_high_medium_only,20680,0.22176230255326906,8.586611870998093,4.176207415654053,10.37739997013294,1.790788099134847,-1.6954962254409978,-3.3383951674320835,-2.047731383489849,0.15871124933210723,-0.5520512035512091
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,5_high_only,19508,0.20919434227317082,8.551624808713655,4.141220353369615,10.383037189496054,1.8314123807823997,-2.0273622198957177,-3.4966805617105825,-2.2914331101168535,0.17693682075817785,-0.6099384862407107
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,6_exclude_ambiguous,88790,0.9521409498890117,3.8882062754738644,-0.5221981798701751,3.907263504354553,0.019057228880688726,0.24879189688559133,-0.5678687281480848,0.28727836167491017,-0.49377732841700395,-0.34785858812078163
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,7_exclude_collision_flagged,27435,0.2941996504133915,8.840592279930807,4.430187824586767,9.285894402765127,0.44530212283432036,-0.8331044584821026,-2.7170255584947904,-1.2390561682977008,0.490113409496459,0.1128312863087868
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,8_exclude_split_merge_flagged,93253,1.0,4.41040445534404,0.0,4.2228251927328415,-0.18757926261119806,0.27152911168575145,-0.6303798184936547,0.3841493877721973,-0.35832372766177967,-0.17190335892825792
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,1_all_alignments,87308,1.0,2.8258159750697054,0.0,3.06281777923569,0.2370018041659847,-0.5241375539883002,0.07777048821824994,-0.09143841233393513,-0.8833305997485104,-0.28456618008856793
