publication_id,discovery_type,rank_scope,rank,percentile,score,supporting_metric_key,supporting_value,ticker,target_comparison_id
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,company_history,1,100.0,1.2944983818770226,risk_language_removal,1.2944983818770226,BEL,f0fd893b-b63c-5c3b-949c-a8f3cb3de8c7
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,company_history,2,50.0,1.1111111111111112,risk_language_removal,1.1111111111111112,BEL,2b6bb53c-02af-5643-8604-5707194fad4a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,company_history,2,75.0,2.175870348139256,risk_language_removal,2.175870348139256,KP2,fafa4d9a-7b04-52e4-b211-ff130bf6664f
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,company_history,3,50.0,1.7573504562352147,risk_language_removal,1.7573504562352147,KP2,2d37417f-c24e-5134-8617-3a04f225d52a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,company_history,4,25.0,1.3187927973624145,risk_language_removal,1.3187927973624145,KP2,6d39c0dc-4039-5b94-a3d6-7f250620c0c3
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,corpus,1,100.0,2.5337302844112246,risk_language_removal,2.5337302844112246,KP2,53b823f2-de26-5f7b-9fd6-ba8a41f65f16
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,corpus,2,83.33333333333333,2.175870348139256,risk_language_removal,2.175870348139256,KP2,fafa4d9a-7b04-52e4-b211-ff130bf6664f
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,corpus,3,66.66666666666667,1.7573504562352147,risk_language_removal,1.7573504562352147,KP2,2d37417f-c24e-5134-8617-3a04f225d52a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,corpus,4,50.0,1.3187927973624145,risk_language_removal,1.3187927973624145,KP2,6d39c0dc-4039-5b94-a3d6-7f250620c0c3
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,corpus,5,33.333333333333336,1.2944983818770226,risk_language_removal,1.2944983818770226,BEL,f0fd893b-b63c-5c3b-949c-a8f3cb3de8c7
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,corpus,6,16.666666666666668,1.1111111111111112,risk_language_removal,1.1111111111111112,BEL,2b6bb53c-02af-5643-8604-5707194fad4a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_risk_removal,latest_comparisons,1,100.0,1.7573504562352147,risk_language_removal,1.7573504562352147,KP2,2d37417f-c24e-5134-8617-3a04f225d52a
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_uncertainty_increase,company_history,1,100.0,2.175312159999283,uncertainty_intensity_change,2.175312159999283,BEL,ac31ff4d-62fa-5f1e-b571-49aefffb97cf
1dbbf2c1-8599-59c8-8388-7a20ea970b1c,largest_uncertainty_increase,corpus,1,100.0,2.175312159999283,uncertainty_intensity_change,2.175312159999283,BEL,ac31ff4d-62fa-5f1e-b571-49aefffb97cf
