ticker,report_id,period_end,narrative_document_id,segmentation_run_id,source_word_count,passage_count,excluded_passage_count,min_passage_word_count,median_passage_word_count,mean_passage_word_count,max_passage_word_count,multi_page_passage_count,heading_associated_passage_count,provenance_warning_count,run_status,warnings,configuration_hash
KP2,9b42f11c-afea-49d9-8540-953b610f767e,2019-12-31,ed963f50-610f-460f-868c-3d9b035ce8ae,083d0e4e-2a11-4cd3-a80f-bf97f3d3264c,57896,563,4,1,4,102.8,691,69,436,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,34ada83c-783b-46dd-811f-b6a3cfecb8ac,,3b4423bc-8e4c-4f7a-acbc-360b0e2b3243,0ffcd031-a932-4202-8692-cf39ceeabcae,44432,1285,0,1,4,34.6,353,1,1266,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
BEL,1276e697-8e26-4a65-9eb4-f11619aaef07,,48649c24-7941-45b0-aed2-d89268796416,8edbbe6b-62c9-406d-a2fb-e46b64529beb,53674,763,1,1,7,70.3,553,34,666,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
KP2,a2262f14-20d8-46ef-b930-b5ecd78bd669,2020-12-31,96567656-56cf-48b2-beb1-ad7e24324d26,b80b4ed5-f2c7-4229-bc3b-2fd7fa8ce219,50913,530,3,1,4.0,96.1,600,56,422,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,df83cc42-dc79-40f7-802e-bd6cf9cc0e57,,1ca2e0f4-d8f0-4551-9b16-4750a51b5d11,013d4894-0466-4f4a-b8da-c798b4122eca,50409,1259,0,1,8,40.0,364,1,1238,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
BEL,6e756e03-f4f6-4223-a495-88b691b06da6,,a7ae6250-c8a9-448a-81fa-fe5d1c3dc424,9a985331-ce7f-4570-9db5-d27e10e569cb,52812,831,1,1,7,63.6,455,32,742,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,2021-12-31,cd754010-5da4-4d47-a5c1-74554fb10a0c,3939a595-f9ad-4048-870e-65cc3297158e,51762,522,2,1,4.0,99.2,658,59,417,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,ccfc1325-dd2d-4f31-af07-f5146a0fdf03,,0b8c568f-8261-42d3-8254-fda2ddf61b78,b9a6f6ad-5393-455e-b9bf-b1e050695e29,53285,1174,0,1,10.0,45.4,359,25,1137,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,2022-12-31,bbaf7745-a070-4d30-89e9-08fc4c4186ed,dc2518b7-4fae-4f92-8e57-39042e1f4e3f,48692,497,1,1,4,98.0,673,51,390,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
SBP,f8ea13f9-796f-4744-a625-a1325ff353b7,,6ed8662e-14aa-4b6a-9774-19e90cd1ed89,36fd2ab0-491c-450a-83e4-9ed98b586df4,18440,200,0,1,48.0,92.2,320,30,181,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
