publication_id,target_passage_id,target_embedding_id,source_embedding_id,source_embedding_run_id
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00637494-612e-586f-addd-d4cb7676b1da,c02155b0-53fa-5ecf-9492-885bb40e68f0,bb87b70f-f395-4972-811b-873a5ad1bebf,74c5d831-070f-4ae6-a59e-d88cee72750b
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,006635b8-2e2e-53be-ad2e-f911d1383594,742c21cf-83e8-5023-8fa1-1ae0b0f9dea8,4c863701-7236-45d8-bc6f-33a11ace93c2,c426feaa-1cc3-49c7-8faa-888ae2f90af9
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00670aa6-471d-5c34-a997-bb5ad61f8a5d,6efb0744-0f59-534e-a417-c3e55f84605a,f4486759-f800-499c-b89b-7b79a852edd2,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0068a120-deca-5758-af49-7e62996b3def,57d32289-3da7-5e72-8172-1bf9ff56291b,e2bb9ad0-2da1-4bbb-83c4-90ed6651ea48,6a94602c-2c3f-4f13-8f83-5d2cfd63799a
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,006941e6-d60d-503a-a22c-00eb97bdfbb9,04287e06-9db9-5943-8e93-8976a5bca284,f3c930db-72ac-4daa-b63f-9c75b5698b96,faf17e5b-5744-4274-b339-91fa5eb172f3
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,006c4a92-c15a-5696-97ba-4dfa2a957c28,006a011b-588b-5382-9e9a-83f4c847a895,0e194a6d-cd1c-4140-8110-8e682033ffaf,18e497bd-2a72-416a-83ac-d0b9a2d4149f
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,006c7abe-c7d0-5b7d-a4a1-34191a25df98,c348e467-873d-5346-823f-2a03e1ad5a2c,bf3bf345-bdd7-4dd7-8f54-64a3366a21e6,d1a3cdde-59da-48c6-af2f-853ad4d36757
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,007160e4-774e-50eb-b0d8-9c9a2b3d72cf,f2ac47fd-01a3-5c3c-af21-8420fac63f0d,213c97a2-2a2c-47f3-832b-1d742d4164f0,18e497bd-2a72-416a-83ac-d0b9a2d4149f
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0075c09e-6c80-5ba0-947d-789c1dd87c11,77e7e855-f5fc-589d-b6ff-f344ab3312a3,a5ed170e-9ebf-445e-bd8c-5344a0ad6888,d1517770-56a7-432c-a340-b1b61f2fe343
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00774b7f-04f7-5d61-92a2-d36e3da02d01,2c345ad6-a3d4-5632-8862-2fd6ff67b0a8,c9ac7aa7-9d5d-4516-98f4-7d2ae8dd3791,18094682-0f77-43a9-b8a9-a0279b7e77f5
