ticker,company_name,fiscal_year,source_page,source_url,remote_filename,local_path,sha256,bytes_downloaded,page_count,detected_years,discovery_method,validation_status,status,error
SBP,Sabvest Capital Limited,2021,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2021/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2021/annual_report.pdf,,0,,,url_pattern,not_checked,not_pdf,content_type=text/html; charset=utf-8
SBP,Sabvest Capital Limited,2022,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2022/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2022/annual_report.pdf,,0,,,url_pattern,not_checked,not_pdf,content_type=text/html; charset=utf-8
SBP,Sabvest Capital Limited,2023,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2023/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2023/annual_report.pdf,605ca1ad206a52bc278812db717deb10a802d730a03de64418e11b124922d006,1435979,,,url_pattern,pdf_parse_error:cryptography>=3.1 is required for AES algorithm,downloaded,
SBP,Sabvest Capital Limited,2024,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2024/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2024/annual_report.pdf,a2597246754aafae99189155478be01b3c4cf10334bfdf632dbfa24f51dd386e,1444046,,,url_pattern,pdf_parse_error:cryptography>=3.1 is required for AES algorithm,downloaded,
SBP,Sabvest Capital Limited,2025,https://www.sabvestcapital.com/investment.php,https://www.sabvestcapital.com/pdf/2025/AnnualReport.pdf,AnnualReport.pdf,data/raw/SBP/2025/annual_report.pdf,89a0bcc84a31782d3664b91f730866782e4d47d38997cd608c6ae45b78de6ddc,1488801,,,url_pattern,pdf_parse_error:cryptography>=3.1 is required for AES algorithm,downloaded,
KP2,Kore Potash plc,2016,https://korepotash.com/investors/results-and-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
KP2,Kore Potash plc,2017,https://korepotash.com/investors/results-and-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
KP2,Kore Potash plc,2018,https://korepotash.com/investors/results-and-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
KP2,Kore Potash plc,2019,https://korepotash.com/investors/results-and-reports/,,,,,0,,,archive_page,not_checked,not_discovered,
KP2,Kore Potash plc,2020,https://korepotash.com/investors/results-and-reports/,https://korepotash1.wpengine.com/wp-content/uploads/2020/05/Kore-Potash-plc-Annual-Report-2019-Final-Signed.pdf,Kore-Potash-plc-Annual-Report-2019-Final-Signed.pdf,data/raw/KP2/2020/annual_report.pdf,19dc113959b5ed4d844983dd97d353ab59d3a903e139df4823fb80596e2136ef,4530811,151,2000;2012;2018;2019;2021,archive_page,year_not_confirmed,downloaded,
KP2,Kore Potash plc,2021,https://korepotash.com/investors/results-and-reports/,https://korepotash1.wpengine.com/wp-content/uploads/2021/03/Kore-Potash-plc-Annual-Report-2020-FINAL-BDO-signed-1.pdf,Kore-Potash-plc-Annual-Report-2020-FINAL-BDO-signed-1.pdf,data/raw/KP2/2021/annual_report.pdf,9445a39ad0fed12d827cf835188b59bab73cee930747091eed7f3a0bf2eb4454,4401661,128,2012;2018;2019;2020,archive_page,year_not_confirmed,downloaded,
KP2,Kore Potash plc,2022,https://korepotash.com/investors/results-and-reports/,https://korepotash1.wpengine.com/wp-content/uploads/2022/03/Kore-Annual-Report-2021.pdf,Kore-Annual-Report-2021.pdf,data/raw/KP2/2022/annual_report.pdf,c85a03296939d3276c80ee7183b0f641e08f0a3a1e46f2b300580f117031f83b,2949923,124,1924;2012;2018;2019;2020;2021,archive_page,year_not_confirmed,downloaded,
KP2,Kore Potash plc,2023,https://korepotash.com/investors/results-and-reports/,https://korepotash.com/wp-content/uploads/2023/03/Kore_Potash_plc_Annual_Report_2022.pdf,Kore_Potash_plc_Annual_Report_2022.pdf,data/raw/KP2/2023/annual_report.pdf,97cf92941c50a49923bf3fb6f2744f77a07d7dfc7169a43213160e8d82b4269f,3152389,117,1924;2012;2018;2019;2020;2021;2022,archive_page,year_not_confirmed,downloaded,
KP2,Kore Potash plc,2024,https://korepotash.com/investors/results-and-reports/,https://korepotash.com/wp-content/uploads/2024/03/20240327-Kore-Potash-plc-Annual-Report-2023-FINAL.pdf,20240327-Kore-Potash-plc-Annual-Report-2023-FINAL.pdf,data/raw/KP2/2024/annual_report.pdf,fc05556bf3c2811f80506ae0e833672ff37b6eb14a6da4acf63f647b7e6a9ed5,2482656,129,1924;2012;2018;2019;2020;2023,archive_page,year_not_confirmed,downloaded,
